organization,companyType,invoiceCountAllAccounting,trackerActivityCount,dominantPartNumber,dominantShare,monthlyCadenceShare,modalServiceShare,amountTrend,learnedRatioPoints
infomed fluids,STANDARD,6,5,RED-AUDIT-A-30,0.600,0.333,0.500,MIXED/UNKNOWN,0
infosys romania,SMALL,4,2,RED-PEN-B-E-B-44,1.000,0.000,1.000,MIXED/UNKNOWN,0
ingka investments renewable energy romania,SMALL,1,4,CONSULTANCY-MISC-5,0.250,0.000,1.000,MIXED/UNKNOWN,0
insights enterprise,STANDARD,8,4,RED-PEN-S-WB-1,1.000,0.000,0.500,MIXED/UNKNOWN,0
internet corp,SMALL,2,1,RED-PEN-S-WB-1,1.000,0.000,0.500,MIXED/UNKNOWN,0
jaxable,STANDARD,7,2,RED-PEN-B-E-B-17,1.000,0.250,0.200,MIXED/UNKNOWN,0
kaufland romania s,STANDARD,5,5,RED-PEN-S-WB-1,0.600,0.000,0.200,MIXED/UNKNOWN,0
keysight technologies ro,RECURRENT,92,91,KS-MM-RD-2,0.824,0.802,0.088,STABLE,74
krankenhaus bethanien ggmbh,SMALL,2,2,RED-PEN-B-E-BP-<400>,0.500,0.000,0.500,MIXED/UNKNOWN,0
la fantana,STANDARD,7,2,CONSULTANCY-MISC-100,0.500,0.333,0.200,MIXED/UNKNOWN,0
lanceria freelancing,SMALL,1,1,RED-PEN-S-WB-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
latitude business application,STANDARD,5,2,RED-PEN-B-E-B-6,0.500,0.000,0.333,MIXED/UNKNOWN,0
liveauctioneers,SMALL,3,2,BLUE-IR-300,0.500,0.000,1.000,MIXED/UNKNOWN,0
m247 europe,STANDARD,6,6,CONSULTANCY-MISC-5,0.333,0.500,0.667,MIXED/UNKNOWN,0
macromex,SMALL,3,2,RED-PEN-B-I-B-500,0.500,0.000,1.000,MIXED/UNKNOWN,0
maib ifn,SMALL,1,1,RED-PEN-B-E-B-13,1.000,0.000,1.000,MIXED/UNKNOWN,0
med serv united,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,0.333,MIXED/UNKNOWN,0
medplaza health,SMALL,1,1,BLUE-IR-9,1.000,0.000,1.000,MIXED/UNKNOWN,0
meisterlabs,SMALL,4,3,RED-PEN-B-E-B-30,0.667,0.333,0.333,MIXED/UNKNOWN,0
meridian taxi,SMALL,1,1,RED-VA-E-B-<4>,1.000,0.000,1.000,MIXED/UNKNOWN,0
metaminds,SMALL,1,1,RED-PEN-B-E-B-7,1.000,0.000,1.000,MIXED/UNKNOWN,0
millenium pro design,RECURRENT,24,26,BLUE-MDR-C-12,0.923,0.882,0.550,STABLE,15
mindit consulting,SMALL,1,1,RED-VA-I-B-25,1.000,0.000,1.000,MIXED/UNKNOWN,0
moon pay,RECURRENT,26,25,RED-C-M-MM-16,0.960,0.917,0.125,STABLE,25
mw team invest,SMALL,2,4,RED-NIS-C-PEN-4,0.500,0.000,0.500,MIXED/UNKNOWN,0
myconnector platform,SMALL,2,1,BLUE-IR-10,1.000,0.000,0.500,MIXED/UNKNOWN,0
nestlers partners,RECURRENT,32,37,BLUE-MDR-C-5,0.973,0.897,0.567,STABLE,26
net brinel,SMALL,1,1,PHISH-T-MM-FM-<500>-<3>,1.000,0.000,1.000,MIXED/UNKNOWN,0
new eclipsa shoes,SMALL,2,1,BLUE-IR-10,1.000,0.000,1.000,MIXED/UNKNOWN,0
nexog,SMALL,3,2,RED-PEN-B-E-B-7,1.000,0.000,0.333,MIXED/UNKNOWN,0
nova power gas,SMALL,3,3,RED-NIS-C-PEN-100,0.667,0.000,0.500,MIXED/UNKNOWN,0
nutripaw pet nutrition,SMALL,2,1,BLUE-IR-10,1.000,0.000,1.000,MIXED/UNKNOWN,0
online venues events,STANDARD,6,2,RED-PEN-S-B-1,1.000,0.000,0.400,MIXED/UNKNOWN,0
orange romania,MANY,139,296,BLUE-IR-OC-6,0.209,0.385,0.082,MIXED/UNKNOWN,0
oveit,SMALL,1,1,RED-PEN-S-B-1,1.000,0.000,0.000,MIXED/UNKNOWN,0
ovidiu development,SMALL,2,4,RED-NIS-C-PEN-12,0.500,0.000,0.500,MIXED/UNKNOWN,0
pf laura-lucia vaida,SMALL,1,1,BLUE-IR-4,1.000,0.000,1.000,MIXED/UNKNOWN,0
pluridio,MANY,15,14,BLUE-MDR-C-65,0.857,0.444,0.385,MIXED/UNKNOWN,0
premier energy furnizare,SMALL,2,3,RED-NIS-C-PEN-58,0.333,0.000,0.500,MIXED/UNKNOWN,0
primonet ro,RECURRENT,16,24,BLUE-MDR-C-5,1.000,0.933,0.688,STABLE,14
pro tv,STANDARD,7,8,CONSULTANCY-MISC-8,0.250,0.000,0.333,MIXED/UNKNOWN,0
pvolve,RECURRENT,15,24,BLUE-MDR-C-16,0.167,0.857,0.929,STABLE,12
quantic lab,STANDARD,9,4,RED-PEN-B-E-B-50,1.000,0.143,0.125,MIXED/UNKNOWN,0
quanto masernet,SMALL,1,15,RED-VA-E-S-50,0.800,0.000,0.000,MIXED/UNKNOWN,0
quantopay,SMALL,2,3,RED-PEN-S-B-1,0.667,0.000,0.500,MIXED/UNKNOWN,0
quehenberger logistics rou,SMALL,3,1,RED-PEN-B-E-B-11,1.000,0.000,0.500,MIXED/UNKNOWN,0
r t c radiology therapeutic center,SMALL,2,4,RED-NIS-C-PEN-200,1.000,0.000,1.000,MIXED/UNKNOWN,0
radiotherapy center cluj,SMALL,1,2,RED-NIS-C-PEN-200,1.000,0.000,1.000,MIXED/UNKNOWN,0
restart energy democracy,STANDARD,6,3,RED-PEN-S-WB-1,0.667,0.000,0.333,MIXED/UNKNOWN,0
restart energy one,SMALL,1,1,RED-PEN-S-G-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
robite,SMALL,2,1,RED-PEN-B-E-B-5,1.000,0.000,1.000,MIXED/UNKNOWN,0
romanian franchise systems,SMALL,2,1,RED-PEN-S-WB-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
