invoiceKey,import,partNumberFinal,notes,companyType,companyInvoiceCount,companyActivityCount,companyDominantPartNumber,companyDominantShare,companyCadenceShare,companyAmountTrend,recommendedAction,confidence,matchMode,source,sourceId,invoiceNumber,organization,issueDate,currency,amountContract,amountLocal,milestone,proposedPartNumber,partNumberTemplate,partNumberValues,catalogStatus,partNumberCandidates,trackerRow,trackerExpectedDate,dateGapDays,proposedContractRef,invoiceServiceText,lineMatches,reason
accounting:434,no,RED-NIS-C-PEN-100,,SMALL,1,2,RED-NIS-C-PEN-100,0.500,0.000,MIXED/UNKNOWN,REVIEW,LOW,SCORED,ron,cms689nef011lrt354v03jnw1,434,ALLIANCE HEALTHCARE ROMANIA S.R.L.,2022-12-20,RON,,68846.40,,RED-NIS-C-PEN-100,RED-NIS-C-PEN-<limit>,"{""limit"":""100""}",UNIQUE,RED-NIS-C-PEN-100 | RED-NIS-C-AUDIT-100,129,2022-12-20,0,NR. 239/23.11.2022,"AUDIT NIS | Bon comanda PO53642, Cod TCB -F129, Cod CCB-104-13-10, | AUDIT NIS | Bon comanda PO53642, Cod TCB -F129, Cod CCB-104-13-10,",,SCORED; date:0d; company=SMALL; dominant=RED-NIS-C-PEN-100 (50%)
accounting:BT.BIT 596,no,RED-NIS-C-AUDIT-100,,SMALL,1,1,RED-NIS-C-AUDIT-100,1.000,0.000,MIXED/UNKNOWN,REVIEW,HIGH,CONTRACT,ron,cms689ofl01g0rt35r7ux5s0i,BT.BIT 596,ALLOGA LOGISTICS ROMANIA SRL,2024-01-31,RON,1000.00,4975.90,,RED-NIS-C-AUDIT-100,RED-NIS-C-AUDIT-<limit>,"{""limit"":""100""}",UNIQUE,RED-NIS-C-AUDIT-100,131,2024-01-09,22,NR.275/02.11.2023,SERVICII CONFORM Articolului 3.9.1 din contractul | NR.275/02.11.2023 (1.000 euro+TVA la cursul BNR) | SERVICII CONFORM Articolului 3.9.1 din contractul | NR.275/02.11.2023 (1.000 euro+TVA la cursul BNR),,"CONTRACT; contract, date:22d, amount:0.0%; company=SMALL; dominant=RED-NIS-C-AUDIT-100 (100%)"
accounting:BT.BIT 288,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mfz00owrt359n6miv47,BT.BIT 288,ALTEX ROMANIA SRL,2021-09-01,RON,2500.00,12336.25,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,18,2021-09-01,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 295,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mhp00pkrt35h6dtcr1a,BT.BIT 295,ALTEX ROMANIA SRL,2021-10-04,RON,2500.00,12367.25,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,19,2021-10-04,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.2 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.2 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 302,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mjg00qbrt357q0ulumj,BT.BIT 302,ALTEX ROMANIA SRL,2021-11-01,RON,2500.00,12372.00,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,20,2021-11-01,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.3 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.3 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 307,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mkl00qqrt35kgdrp99s,BT.BIT 307,ALTEX ROMANIA SRL,2021-12-02,RON,2500.00,12372.50,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,21,2021-12-02,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 317,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mmz00rkrt3559q52k2o,BT.BIT 317,ALTEX ROMANIA SRL,2022-01-04,RON,2500.00,12366.00,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,22,2022-01-04,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 323,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689moj00s2rt35a6wtngnp,BT.BIT 323,ALTEX ROMANIA SRL,2022-02-03,RON,2500.00,12364.25,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,23,2022-02-03,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 327,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689mph00sert35agm4z287,BT.BIT 327,ALTEX ROMANIA SRL,2022-03-03,RON,2500.00,12372.25,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,24,2022-03-03,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
accounting:BT.BIT 339,no,PHISH-P-L-MM-F-4000-12,,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,STABLE,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689ms400tfrt35iqbd9ild,BT.BIT 339,ALTEX ROMANIA SRL,2022-04-06,RON,2500.00,12357.75,,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-<limit1>-<limit2>,"{""limit1"":""4000"",""limit2"":""12""}",UNIQUE,PHISH-P-L-MM-F-4000-12,25,2022-04-06,0,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 | 2500 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, trend-adjusted-amount:1.000:0.0%, company-profile:100%; company=RECURRENT; dominant=PHISH-P-L-MM-F-4000-12 (100%)"
