organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
ALTEX ROMANIA SRL,PHISH-P-L-MM-F-4000-12,29,final,2022-08-08,actual,2500.00,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,INVOICED_ACCOUNTING,Da,,BT.BIT 382,ron,2022-08-08,0
Amber Studio SA,RED-PEN-B-E-B-15,864,avans,2023-07-12,actual,3300.00,269/05.07.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 508,ron,2023-07-12,0
Amber Studio SA,RED-PEN-B-E-B-15,864,final,2023-09-15,actual,4950.00,269/05.07.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AMETHYST RADIOTERAPIA ALBA IULIA S.A.,RED-NIS-C-PEN-200,119,final,2022-12-14,actual,1800.00,150/28.11.2022,INVOICED_ACCOUNTING,Da,,426,ron,2022-12-14,0
AMETHYST RADIOTERAPIA ALBA IULIA S.A.,RED-NIS-C-PEN-200,120,final,2022-12-14,actual,1150.00,150/28.11.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Apa Service S.A.,RED-NIS-C-PEN-10,1309,final,2024-09-06,actual,5500.00,NR. 299/17.6.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 710,ron,2024-09-06,0
Apa Service S.A.,RED-NIS-C-AUDIT-100,1310,final,2024-09-06,actual,4500.00,NR. 299/17.6.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
APAVITAL SA,RED-NIS-C-PEN-100,987,avans,2024-03-28,actual,7463.00,NR. 286/21.02.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 621,ron,2024-03-28,0
APAVITAL SA,RED-NIS-C-PEN-100,987,final,2024-04-22,actual,2037.00,NR. 286/21.02.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
APAVITAL SA,RED-NIS-C-AUDIT-100,988,final,2024-04-22,actual,5500.00,NR. 286/21.02.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
APAVITAL SA,PHISH-P-L-YY-F-<400>-<12>,989,final,2025-11-19,actual,6000.00,Comanda nr. 1 din 4.11.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 971,ron,2025-11-19,0
AQUILA PART PROD COM S.A.,RED-PEN-B-I-B-50,930,avans,2024-01-17,actual,5346.00,contract cadru cu diverse servicii de securitate,INVOICED_ACCOUNTING,Da,,BT.BIT 590,ron,2024-01-16,1
AQUILA PART PROD COM S.A.,RED-PEN-B-E-B-25,931,avans,2024-01-17,actual,3564.00,contract cadru cu diverse servicii de securitate,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AQUILA PART PROD COM S.A.,RED-PEN-B-I-B-50,930,final,2024-02-09,actual,8019.00,contract cadru cu diverse servicii de securitate,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AQUILA PART PROD COM S.A.,RED-PEN-B-E-B-25,931,final,2024-02-09,actual,5346.00,contract cadru cu diverse servicii de securitate,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1390,final,2025-04-30,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 873,ron,2025-04-30,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1391,final,2025-05-05,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 894,ron,2025-05-16,11
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1392,final,2025-06-16,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 918,ron,2025-06-16,0
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1393,final,2025-07-10,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 943,ron,2025-07-02,8
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1394,final,2025-08-04,actual,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 971,ron,2025-08-04,0
