organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
AstorMueller AG,BLUE-IR-OC-6,1035,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1036,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1037,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1038,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1039,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1040,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1041,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,475,final,2023-07-04,actual,600.00,262/05.04.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,479,final,2023-10-12,estimated,600.00,nr 1 12.10.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAPITAL FINANCIAL SERVICES SA,RED-PEN-B-E,478,final,2023-11-01,actual,6200.00,nr 1 12.10.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,480,final,2024-09-01,actual,10000.00,nr 2 09.08.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAUCASUS UNIVERSITY,CYBEREDU-SM-Y-100-12,850,final,2021-10-19,actual,2000.00,order form 1,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAUCASUS UNIVERSITY,CYBEREDU-SM-Y-100-12,851,final,2022-09-26,actual,2000.00,order form 2,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CERTSIGN SA,RED-PEN-B-I-BP-10,73,final,2023-12-11,actual,7400.00,263,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CEZ VANZARE S.A.,RED-NIS-C-AUDIT-58,86,final,2022-12-15,actual,3500.00,Nr. N26 din data de 22.09.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Comisia Europeana - ECYBRIDGE,CYBEREDU-GRANTS,872,final,2024-07-07,actual,108204.00,101158784,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Comisia Europeana - ECYBRIDGE,CYBEREDU-GRANTS,873,final,2026-07-05,estimated,27151.00,101158784,PAST_UNMATCHED,Nu,,,,,
Comisia Europeana - UMC,CYBEREDU-GRANTS,870,final,2023-10-15,actual,293843.00,101128088/11/08/2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Comisia Europeana - UMC,CYBEREDU-GRANTS,871,final,2026-07-05,estimated,73461.00,101128088/11/08/2023,PAST_UNMATCHED,Nu,,,,,
Compania Națională de Investiții S.A.,RED-PEN-B-I-B-20,1497,final,2025-09-22,actual,13702.00,CONTRACT-CADRU DE PRESTĂRI SERVICII Nr. 356/14.8.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CUSTIFY SRL,RED-PEN-S-WB-1,205,final,2021-06-06,actual,2760.00,191/17.05.2021,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CUSTIFY SRL,RED-PEN-S-WB-1,208,final,2024-09-10,actual,3300.00,223/17.05.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CUSTIFY SRL,RED-PEN-B-E-B-14,209,final,2025-09-30,actual,4080.00,223/17.05.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1527,final,2025-11-26,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1528,final,2025-12-23,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1529,final,2026-01-20,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1530,final,2026-02-13,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1531,final,2026-03-20,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1532,final,2026-04-29,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1533,final,2026-05-25,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1534,final,2026-06-19,actual,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1535,final,2026-07-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,PAST_UNMATCHED,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1512,final,2026-08-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1536,final,2026-08-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1513,final,2026-09-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1537,final,2026-09-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1514,final,2026-10-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1538,final,2026-10-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1515,final,2026-11-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1539,final,2026-11-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1516,final,2026-12-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1540,final,2026-12-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1517,final,2027-01-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1541,final,2027-01-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1518,final,2027-02-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1542,final,2027-02-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1519,final,2027-03-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1543,final,2027-03-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1520,final,2027-04-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1544,final,2027-04-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1521,final,2027-05-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1545,final,2027-05-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1522,final,2027-06-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1546,final,2027-06-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1523,final,2027-07-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1547,final,2027-07-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1524,final,2027-08-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1548,final,2027-08-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,BLUE-MDR-C-10,1525,final,2027-09-05,estimated,1700.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
Digitize Tech S.R.L.,RED-VA-I-B-100,1549,final,2027-09-05,estimated,800.00,Contract de furnizare servicii DT25090101/1.9.2025,UPCOMING,Nu,,,,,
DISTRIBUTIE ENERGIE OLTENIA SA,RED-NIS-C-AUDIT-100,107,final,2022-12-16,actual,3000.00,60.1.DJ. 223281.0-0 din data de 19.08.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
DISTRIBUTIE ENERGIE OLTENIA SA,RED-NIS-C-AUDIT-100,109,final,2024-12-18,actual,2200.00,Nr. 60.1.DJ.244627.0-0 din data de 11.09.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Societatea DONA. CARGO S.A,RED-NIS-C-PEN-300,793,avans,2023-05-17,actual,0.00,264/04.05.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Societatea DONA. LOGISTICA S.A,RED-NIS-C-AUDIT-300,796,final,2023-08-28,actual,4100.00,264/04.05.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ECHINOX EVALUARI SRL,RED-VA-I-P-10,779,final,2022-01-25,actual,0.00,209/17.01.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ECHINOX EVALUARI SRL,RED-VA-I-P-10,778,final,2023-03-20,actual,0.00,209/17.01.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN DIGITAL EXCHANGE S.A.,RED-AUDIT-A-9,112,final,2022-12-30,actual,8500.00,21/ 01.09.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN UNION AGENCY FOR NETWORK AND INFORMATION SECURITY,CYBEREDU-DEV-EX-10,188,final,2021-10-25,actual,14400.00,ENISA/2021/186,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN UNION AGENCY FOR NETWORK AND INFORMATION SECURITY,CYBEREDU-DEV-EX-10,189,final,2022-06-20,actual,14400.00,ENISA/2022/165,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN UNION AGENCY FOR NETWORK AND INFORMATION SECURITY,CYBEREDU-MISC,878,final,2023-10-30,actual,8999.00,2023/275,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN UNION AGENCY FOR NETWORK AND INFORMATION SECURITY,BLUE-IR-OC-6,190,final,2025-09-16,actual,11082.00,"SUBCONTRACTING AGREEMENT no. 45/B77A/25075.02 dated 27.05.2025  Contractor signing SC No. 1 M-OSU-25-C91_RO to the Framework Service Contract ref: ENISA/2024/OP/0005 LOT 23, INT REF NUMBER: ENISA F-OCU-24-C10 LOT 23 with the Contracting Authority, The European Union Agency for Cybersecurity (ENISA), for Supporting ENISA in the provision of Incident Response Services in Romania",PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN UNION AGENCY FOR NETWORK AND INFORMATION SECURITY,CYBEREDU-RUN-EX-19,191,final,2025-11-03,actual,31753.00,,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN UNION AGENCY FOR NETWORK AND INFORMATION SECURITY,CYBEREDU-MISC,192,final,2025-12-23,actual,9318.00,,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EUROPEAN UNION AGENCY FOR NETWORK AND INFORMATION SECURITY,CYBEREDU-MISC,193,final,2026-01-30,actual,37872.00,,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EWIND S.R.L.,RED-NIS-C-PEN-100,846,avans,2023-03-02,actual,3600.00,255/25.01.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EWIND S.R.L.,RED-NIS-C-PEN-100,846,final,2023-06-30,actual,5400.00,255/25.01.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
EWIND S.R.L.,RED-NIS-C-AUDIT-100,847,final,2023-06-30,actual,4500.00,255/25.01.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
FARMACEUTICA ARGESFARM SA,RED-NIS-C-AUDIT-100,836,avans,2023-05-12,actual,1190.00,235/20.04.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Farmec S.A.,RED-PEN-B-E-B-5,932,final,2024-01-31,actual,4095.00,contract cadru cu diverse servicii de securitate 283/22.01.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Farmec S.A.,BLUE-IR-5,941,final,2024-03-01,actual,2500.00,contract cadru cu diverse servicii de securitate 283/22.01.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
FILDAS TRADING SRL,RED-NIS-C-AUDIT-100,834,avans,2023-05-12,actual,1442.00,257/20.04.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Fin-expert Boscolo Consulting” SRL,RED-PEN-B-I-B-20,1226,avans,2024-06-11,actual,2925.00,294/31.05.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Fin-expert Boscolo Consulting” SRL,RED-PEN-B-E-B-5,1227,avans,2024-06-11,actual,2925.00,294/31.05.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Fin-expert Boscolo Consulting” SRL,RED-PEN-B-I-B-20,1226,final,2024-07-15,actual,2925.00,294/31.05.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Fin-expert Boscolo Consulting” SRL,RED-PEN-B-E-B-5,1227,final,2024-07-15,actual,2925.00,294/31.05.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
FISCAL SOLUTIONS doo,RED-PEN-S-WB-1,167,avans,2022-07-14,actual,4620.00,229/12.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
FISCAL SOLUTIONS doo,RED-PEN-S-WB-1,167,final,2022-09-13,actual,1980.00,229/12.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
FLASHNET S.A.,RED-NIS-C-PEN-10,1317,avans,,none,1960.00,NR. 312/8.10.2024,UNMATCHED_NO_DATE,Nu,,,,,
FLASHNET S.A.,RED-NIS-C-PEN-10,1316,final,2024-12-16,actual,5160.00,NR. 312/8.10.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
FLASHNET S.A.,RED-NIS-C-PEN-10,1324,final,2026-08-24,estimated,2400.00,NR. 312/8.10.2024,UPCOMING,Nu,,,,,
FLASHNET S.A.,RED-NIS-C-PEN-10,1323,final,2026-11-02,estimated,4900.00,NR. 312/8.10.2024,UPCOMING,Nu,,,,,
Fortech S.R.L.,RED-PEN-B-E-B-25,180,avans,2022-04-04,actual,1800.00,217/24.03.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Fortech S.R.L.,RED-PEN-B-I-B-50,179,final,2022-08-03,actual,2400.00,217/24.03.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Fortech S.R.L.,RED-PEN-B-E-B-25,180,final,2022-08-03,actual,2700.00,217/24.03.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
